kode_buku,judul_buku,pengarang,genre
0060609192,Reading the Bible Again for the First Time,Marcus J. Borg,Religion
006062213X,Shadow of the Almighty,Elisabeth Elliot,Religion
006064589X,The Dance of the Dissident Daughter,Sue Monk Kidd,Religion
0060652853,C.S. Lewis,C. S. Lewis,Religion
0060652896,The Screwtape Letters,C. S. Lewis,Religion
0060652926,Mere Christianity,C. S. Lewis,Religion
0060654856,Learning to Love,Thomas Merton,Religion
0060725141,The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction
0060727535,Cash,Johnny Cash,Biography & Autobiography
0060727632,The Collected Letters of C.S. Lewis, Volume 1,C. S. Lewis,Biography & Autobiography
0060730552,Touching the Void,Joe Simpson,Sports & Recreation
0060731303,Anybody Out There?,Marian Keyes,Fiction
0060732709,My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction
0060733357,The Confusion,Neal Stephenson,Fiction
0060734019,Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction
0060735422,Practical Demonkeeping,Christopher Moore,Fiction
0060735449,Island of the Sequined Love Nun,Christopher Moore,Fiction
0060735457,The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction
0060736259,Weetzie Bat,Francesca Lia Block,Juvenile Fiction
0060737042,Behind the Curtain,Peter Abrahams,Juvenile Fiction
0060739428,Catherine, Called Birdy (Summer Reading Edition),Karen Cushman,Juvenile Fiction
0060745908,Wicked Musical Tie-in Edition,Gregory Maguire,Fiction
0060747226,Son of a Witch,Gregory Maguire,Fiction
0060747471,This Rough Magic,Mary Stewart,Fiction
006074748X,Airs Above the Ground,Mary Stewart,Fiction
0060751649,The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction
0060753102,Beauty,Robin McKinley,Juvenile Fiction
0060753633,Mating in Captivity,Esther Perel,Psychology
0060754001,Forgotten New York,Kevin Walsh,Travel
0060758767,The Dead Beat,Marilyn Johnson,Social Science
0060760257,Charms for the Easy Life,Kaye Gibbons,Fiction
0060760443,The Reading Group,Elizabeth Noble,Fiction
0060760826,A Couple of April Fools,Gregory Maguire,Juvenile Fiction
0060761539,What Christians Believe,C. S. Lewis,Religion
0060763728,Psyche in a Dress,Francesca Lia Block,Juvenile Fiction
0060765313,YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness
0060765453,The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction
0060765488,The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack),C. S. Lewis,Juvenile Fiction
0060766743,The Nightmare Room, Books 1-2-3: The Nightmare Begins!,R.L. Stine,Juvenile Fiction
0060773758,A Quick Bite,Lynsay Sands,Fiction
0060775858,Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction
0060776099,Brave New World and Brave New World Revisited,Aldous Huxley,Fiction
0060777109,The Final Solution,Michael Chabon,Fiction
0060777338,The Cat's Pajamas,Ray Bradbury,Fiction
0060778016,Holy Skirts,Rene Steinke,Fiction
0060782137,Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction
0060786736,A False Mirror,Charles Todd,Fiction
0060787031,Cracks in My Foundation,Marian Keyes,Fiction
0060788194,A Fistful of Charms,Kim Harrison,Fiction
0060788380,For a Few Demons More,Kim Harrison,Fiction
0060790598,Mysteries of Pittsburgh,Michael Chabon,Fiction
0060792175,Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction
0060792787,Flight of the Nighthawks,Raymond E. Feist,Fiction
0060792809,Into a Dark Realm,Raymond E. Feist,Fiction
0060793198,The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness
0060815523,The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime
0060815914,Last of the Wilds,Trudi Canavan,Fiction
0060815922,Voice of the Gods,Trudi Canavan,Fiction
0060816228,Missing Mom,Joyce Carol Oates,Fiction
0060819227,The Collected Letters of C.S. Lewis, Volume 3,C. S. Lewis,Biography & Autobiography
0060823720,Touch Not the Cat,Mary Stewart,Fiction
0060833173,King of the Vagabonds,Neal Stephenson,Fiction
0060833181,Odalisque,Neal Stephenson,Fiction
0060834005,Black Boy,Richard Wright,Biography & Autobiography
006083482X,The Sheltering Sky,Paul Bowles,Fiction
0060837160,Rat Bastards,John Shea,Biography & Autobiography
0060837330,The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography
0060837551,The Thorn Birds,Colleen McCullough,Fiction
0060838590,Krakatoa,Simon Winchester,History
0060839783,The Professor and the Madman,Simon Winchester,Biography & Autobiography
0060840889,Hit Parade,Lawrence Block,Fiction
0060841869,The Curtain,Milan Kundera,Literary Collections
0060844094,A Hard Day's Write, 3e,Steve Turner,Music
0060845244,The Lion, the Witch and the Wardrobe Read-Aloud Edition,C. S. Lewis;Pauline Baynes,Juvenile Fiction
0060845309,Mambo Kings Play Songs of Love, The Tie-in,Oscar Hijuelos,Fiction
0060846739,Sex with the Queen,Eleanor Herman,History
0060850523,Brave New World,Aldous Huxley,Fiction
0060851988,Queen of Babble,Meg Cabot,Fiction
0060852550,Animal, Vegetable, Miracle,Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography
0060853980,Good Omens,Neil Gaiman;Terry Pratchett,Fiction
006085409X,Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction
0060854944,Continental Drift,Russell Banks,Fiction
0060872799,The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction
0060872985,Next,Michael Crichton,Fiction
0060880120,How to Be Popular,Meg Cabot,Juvenile Fiction
0060882603,The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction
0060882816,Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction
0060882867,The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction
0060884053,How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels
0060885378,Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction
0060885386,Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction
0060885424,The Long Winter,Laura Ingalls Wilder,Juvenile Fiction
0060885432,Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction
0060885459,The First Four Years,Laura Ingalls Wilder,Juvenile Fiction
0060887966,The Alchemist - Gift Edition,Paulo Coelho,Fiction
0060889446,Pretty Things,Liz Goldwyn,Biography & Autobiography
0060891564,Eaters of the Dead,Michael Crichton,Fiction
0060894083,Genome,Matt Ridley,Science
0060898658,The Zero,Jess Walter,Fiction
0060899220,Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography
0060906820,DREAM & THE UNDERWOR,James Hillman,Psychology
006091307X,The Crying of Lot 49,Thomas Pynchon,Fiction
0060915188,An American Childhood,Annie Dillard,Biography & Autobiography
0060915412,Teaching a Stone to Talk,Annie Dillard,Literary Criticism
0060915439,Holy the Firm,Annie Dillard,Literary Criticism
0060916095,Think on These Things,Jiddu Krishnamurti,Religion
006091646X,The Dance of Intimacy,Harriet Lerner,Psychology
0060916494,Tell My Horse,Zora Neale Hurston,Fiction
0060916516,Jonah's Gourd Vine,Zora Neale Hurston,Fiction
0060916818,The Chaneysville Incident,David Bradley,History
0060919884,The Writing Life,Annie Dillard,Literary Criticism
0060920084,The Lost Continent,Bill Bryson,Travel
0060920645,Three by Annie Dillard,Annie Dillard,Fiction
0060921080,Declarations of Independence,Howard Zinn,Political science
0060921714,The Complete Stories,Zora Neale Hurston,Fiction
0060922559,Legends, Lies & Cherished Myths of World History,Richard Shenkman,History
0060924985,The Infinite Plan,Isabel Allende,Fiction
0060925752,Soul Mates,Thomas Moore,Psychology
0060925817,Cathedral, Forge and Waterwheel,Joseph Gies,History
0060926961,The Throne of the Third Heaven of the Nations Millennium General Assembly,Denis Johnson,Poetry
0060927194,Success Stories,Russell Banks,Fiction
0060927518,Testaments Betrayed,Milan Kundera,Literary Collections
0060927542,Mr. Ives' Christmas,Oscar Hijuelos,Fiction
0060928417,Slowness,Milan Kundera,Fiction
0060929596,As Nature Made Him,John Colapinto,Medical
006092960X,The Active Side of Infinity,Carlos Castaneda,Body, Mind & Spirit
0060929871,Brave New World,Aldous Huxley,Fiction
0060930055,You Can't Go Home Again,Thomas Wolfe,Fiction
0060930136,The Fifth Mountain,Paulo Coelho,Fiction
0060930217,V.,Thomas Pynchon,Fiction
0060930314,Identity,Milan Kundera,Fiction
0060930535,The Poisonwood Bible,Barbara Kingsolver,Fiction
0060930861,Cloudsplitter,Russell Banks,Fiction
0060931361,Plato, Not Prozac!,Lou Marinoff,Philosophy
0060931671,The Crying of Lot 49,Thomas Pynchon,Fiction
0060931809,The Map That Changed the World,Simon Winchester;Soun Vannithone,Biography & Autobiography
0060931957,The Odyssey of Homer,Homer,Fiction
006093266X,Collected Novellas,Gabriel Garcia Marquez,Fiction
0060932686,Collected Stories,Gabriel Garcia Marquez,Fiction
0060933526,A Mulligan for Bobby Jobe,Robert Cullen,Fiction
0060934433,In the Footsteps of Mr. Kurtz,Michela Wrong,History
0060934549,Every Tongue Got to Confess,Zora Neale Hurston,Literary Criticism
0060934913,Kitchen Confidential,Anthony Bourdain,Biography & Autobiography
0060935553,One Matchless Time,Jay Parini,Biography & Autobiography
0060936193,The Girl in the Glass,Jeffrey Ford,Fiction
0060936509,The Best American Science Writing 2002,Matt Ridley;Alan Lightman,Science
0060936649,Wittgenstein's Poker,David Edmonds;John Eidinow,Philosophy
0060936665,Smart Discipline(R),Larry Koenig,Family & Relationships
0060938102,The Schopenhauer Cure,Irvin Yalom,Fiction
0060954833,African Nights,Kuki Gallmann,Biography & Autobiography
0060955422,The Autobiography of Mark Twain,Charles Neider,Biography & Autobiography
0060956860,Joy in the Morning,Betty Smith,Fiction
0060957263,Beauty,John O'Donohue,Body, Mind & Spirit
0060957352,The Darling,Russell Banks,Fiction
0060957603,The Making of a Philosopher,Colin McGinn,Philosophy
0060958332,The Language Instinct,Steven Pinker,Language Arts & Disciplines
0060959037,Prodigal Summer,Barbara Kingsolver,Fiction
0060964049,Tales of the City,Armistead Maupin,Fiction
0060973331,Fear of Falling,Barbara Ehrenreich,Social Science
0060974362,The Hidden Hand,Carroll John Daly,Fiction
0060974680,Europe,Norman Davies,History
0060974990,Savage Inequalities,Jonathan Kozol,Education
0060975008,Gold Bug Variations,Richard Powers,Fiction
0060975091,Three Farmers on Their Way to a Dance,Richard Powers,Fiction
0060975946,The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,Fiction
0060976098,Fiskadoro,Denis Johnson,Fiction
0060976101,The Stars at Noon,Denis Johnson,Fiction
006097611X,Operation Wandering Soul,Richard Powers,Fiction
0060976721,Reasons to Live,Amy Hempel,Fiction
0060977086,Prisoner's Dilemma,Richard Powers,Fiction
0060977493,The God of Small Things,Arundhati Roy,Fiction
0060977663,Courtesans and Fishcakes,James Davidson,History
0060987324,Girlfriend in a Coma,Douglas Coupland,Fiction
0060987464,The Long Hard Road Out of Hell,Marilyn Manson;Neil Strauss,Biography & Autobiography
0060987529,Confessions of an Ugly Stepsister,Gregory Maguire,Fiction
0060989157,The Dirt,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars,Biography & Autobiography
0060997028,Life Is Elsewhere,Milan Kundera;Aaron Asher,Fiction
0061015628,Cat Laughing Last,Shirley Rousseau Murphy,Fiction
0061020095,The Crow: The Lazarus Heart,Poppy Z. Brite,Fiction
0061020575,Well of Darkness,Margaret Weis;Tracy Hickman,Fiction
0061020702,The Light Fantastic,Terry Pratchett,Fiction
0061030651,U.S.S. Seawolf,Patrick Robinson,Fiction
0061052396,Realms of Dragons,Margaret Weis;Denise Little;Tracy Hickman,Fiction
0061053562,The Player of Games,Iain Banks,Fiction
006105366X,My Soul to Keep,Tananarive Due,Fiction
0061054674,Peril's Gate,Janny Wurts,Fiction
0061054682,Fugitive Prince,Janny Wurts,Fiction
0061054909,Love in Vein,Poppy Z. Brite,Fiction
0061056006,Cat on the Edge,Shirley Rousseau Murphy,Fiction
0061059471,Cat in the Dark,Shirley Rousseau Murphy,Fiction
006109398X,Treasure Box,Orson Scott Card,Fiction
0061093998,Homebody,Orson Scott Card,Fiction
0061094153,Imajica II,Clive Barker,Fiction
0061094226,Choke,Stuart Woods,Fiction
0061094234,Dirt,Stuart Woods,Fiction
0061096857,Kilo Class,Patrick Robinson,Fiction
0061120065,Their Eyes Were Watching God,Zora Neale Hurston,Fiction
0061120073,A Tree Grows in Brooklyn,Betty Smith,Fiction
006112009X,One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction
0061120251,Daughter of Fortune,Isabel Allende,Fiction
0061122092,By the River Piedra I Sat Down and Wept,Paulo Coelho,Fiction
0061122416,The Alchemist,Paulo Coelho,Fiction
0061124265,Veronika Decides to Die,Paulo Coelho,Fiction
0061125938,Goodnight Moon 123,Margaret Wise Brown;Clement Hurd,Juvenile Fiction
0061127760,Charlotte's Web Signature Edition,E. B. White,Juvenile Fiction
0061127914,By Myself and Then Some,Lauren Bacall,Biography & Autobiography
0061129739,The Art of Loving,Erich Fromm,Self-Help
006113127X,Factotum tie-in,Charles Bukowski,Fiction
0061131520,The White Masai,Corinne Hofmann,Biography & Autobiography
0061131628,Mandy,Julie Andrews Edwards,Juvenile Fiction
0061136905,The Crusader,Paul Kengor,Political Science
0061137030,Spider's House,Paul Bowles,Fiction
0061137367,Days,Paul Bowles,Fiction
